Title,Price,Location,Kilometers,Link
2015 Mazda MX-5,"$24,990","Wellington City, Wellington","91,081 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5064647220?rsqid=98815de141d4458c84a67f23eb03e333-001
1990 Mazda MX-5,"$25,000","Kapiti, Wellington","128,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4914898287?rsqid=98815de141d4458c84a67f23eb03e333-001
2019 Mazda MX-5,"$25,950","Christchurch, Canterbury","99,059 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/4854748431?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$25,989","Christchurch, Canterbury","108,970 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5055413520?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$26,995","Manukau, Auckland","27,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5061233515?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$27,950","North Shore, Auckland","93,221 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5049826121?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$27,989","Christchurch, Canterbury","86,579 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5062082800?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$28,989","Christchurch, Canterbury","107,664 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5063817959?rsqid=98815de141d4458c84a67f23eb03e333-001
2017 Mazda MX-5,"$29,900","Manukau, Auckland","42,000 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5054785521?rsqid=98815de141d4458c84a67f23eb03e333-001
2018 Mazda MX-5,"$29,950","North Shore, Auckland","76,567 km",https://www.trademe.co.nz/a/motors/cars/mazda/mx-5/listing/5033162418?rsqid=98815de141d4458c84a67f23eb03e333-001
